"COMMISSIONE","NOMI","ATTO","DATA"
"1 (Aff. costituzionali)","Prof. Giorgio GRASSO (516 Kb) Avv. Laura PAPA (107 Kb)                                                              UNAAF (208 Kb)                                                              Prof. PELLACANI (347 Kb)                                                              Prof. Oronzo MAZZOTTA (304 Kb)                                                              FNOMCeO (266 Kb)                                                              FP CGIL NAZIONALE (96 Kb)","Audizioni informali sul ddl 2167 ((d-l 44/2021 - misure contenimento COVID-19)","20 Aprile 2021"
"1 (Aff. costituzionali)","UNAITALIA (172 Kb)                                                              AVAVENETO (114 Kb)","Audizioni informali sul disegno di legge 83 e connessi (tutela costituzionale dell'ambiente)","19 Aprile 2021"
"1 (Aff. costituzionali)","PROF.SSA Maria Grazia RODOMONTE (532 Kb)","Audizioni informali sul disegno di legge n. 1785 (equilibrio di genere nelle cariche pubbliche)","15 Aprile 2021"
"1 (Aff. costituzionali)","Prof. Massimo LUCIANI (140 Kb)                                                              Prof.ssa Daniela BOLOGNINO (205 Kb)","Audizioni informali sul ddl 2167 ((d-l 44/2021 - misure contenimento COVID-19)","15 Aprile 2021"
"1 (Aff. costituzionali)","Prof. Mario BERTOLISSI (112 Kb)                                                              Prof. Giorgio GRASSO (521 Kb)                                                              AUTORITA' GARANTE PROTEZIONE DATI PERSONALI - PRESIDENTE (253 Kb)                                                              Prof. Donatella MORANA (109 Kb)                                                              prof. Giovanni D'ALESSANDRO (106 Kb)","Atto n. 775 - Passaporto vaccinale"," 8 Aprile 2021"
"1 (Aff. costituzionali)","A.N.D.E. (51 Kb)                                                              UPI (473 Kb)                                                              DONNE PER LA SALVEZZA (76 Kb)","Audizioni informali sul disegno di legge n. 1785 (equilibrio di genere nelle cariche pubbliche)"," 1 Aprile 2021"
"1 (Aff. costituzionali)","VALORE D (76 Kb)                                                              Prof.ssa Marilisa D'AMICO (671 Kb)                                                              DATECIVOCE (158 Kb)                                                              PROF. BERTOLISSI (115 Kb)","Audizioni informali sul disegno di legge n. 1785 (equilibrio di genere nelle cariche pubbliche)","24 Marzo 2021"
"1 (Aff. costituzionali)","Avv. Felice BESOSTRI (580 Kb)","Audizioni informali sul ddl. 1196 (quorum validità elezioni comunali)","22 Marzo 2021"
"1 (Aff. costituzionali)","ANCI (279 Kb)                                                              Prof. Angelo SCHILLACI (763 Kb)                                                              Prof. Carlo FUSARO (389 Kb)","Audizioni informali sul ddl. 1196 (quorum validità elezioni comunali)","18 Marzo 2021"
"1 (Aff. costituzionali)","Prof. Donato LIMONE (203 Kb)","Audizioni informali sul Doc. XXVII, n. 18 (Proposta di Piano nazionale di ripresa e resilienza)","15 Marzo 2021"
"1 (Aff. costituzionali)","Prof.ssa Giovanna DE MINICO (314 Kb)","Audizioni informali sul Doc. XXVII, n. 18 (Proposta di Piano nazionale di ripresa e resilienza)","10 Marzo 2021"
"1 (Aff. costituzionali)","Prof.ssa Flavia MARZANO (118 Kb)                                                              Prof. Giuseppe PIRLO (444 Kb)                                                              Prof. SSA Miriam ALLENA (317 Kb)                                                              PagoPA SPA (1471 Kb)","Audizioni informali sul Doc. XXVII, n. 18 (Proposta di Piano nazionale di ripresa e resilienza)"," 4 Marzo 2021"
"1 (Aff. costituzionali)","Prof. Pasquale PANTALONE (182 Kb)                                                              Prof. Giuseppe ATTARDI (587 Kb)                                                              Prof. Fabrizio FRACCHIA (118 Kb)                                                              Prof. Fabio CINTIOLI (87 Kb)","Audizioni informali sul Doc. XXVII, n. 18 (Proposta di Piano nazionale di ripresa e resilienza)"," 2 Marzo 2021"
"1 (Aff. costituzionali)","Prof. Silvio TAFURI (1478 Kb)                                                              prof. Giuseppe ATTARDI (503 Kb)                                                              Action Aid - OnData - Transparency International Italia (163 Kb)                                                              Prof.ssa Miriam ALLENA (208 Kb) Garante Protezione dati personali (1765 Kb)","Audizioni informali sul ddl 2066 (d-l 2/2020 - ulteriori disposizioni contenimento Covid-19 ed elezioni 2021)"," 2 Febbraio 2021"
"1 (Aff. costituzionali)","Prof. STANZIONE - GARANTE PROTEZIONE DATI PERSONALI (469 Kb)","Audizioni informali sul ddl 1900 (Commissione d'inchiesta diffusione informazioni false)","12 Gennaio 2021"
"1 (Aff. costituzionali)","Prof. Andrea LONGO (274 Kb)                                                              Prof. Valerio ONIDA (283 Kb)                                                              Prof. Davide DE LUNGO (273 Kb)","Audizioni informali sul ddl 852 (vincolo legislatore a seguito referendum abrogativo)","12 Gennaio 2021"
"1ª (Aff. costituzionali) e 2ª (Giustizia)","Prof. Gaetano CARLIZZI (231 Kb)","ESAME DEL DISEGNO DI LEGGE N. 2040 (D-L 130/20 - IMMIGRAZIONE E SICUREZZA)","15 Dicembre 2020"
"1 (Aff. costituzionali)","Prof. Andrea MORRONE (336 Kb)                                                              Prof.ssa CATELANI (320 Kb)                                                              Prof. Paolo MADDALENA (320 Kb)                                                              Prof. Cesare PINELLI (126 Kb)                                                              Prof. Gaetano AZZARITI (497 Kb)","Audizioni informali sul ddl 852 (vincolo legislatore a seguito referendum abrogativo)","10 Dicembre 2020"
"1 (Aff. costituzionali)","Prof.ssa Maria ASTONE (164 Kb)                                                              Prof.ssa FANCHI - ALMED (1815 Kb) Associazione italiana editori (208 Kb)","Audizioni informali sul ddl 1900 (Commissione d'inchiesta diffusione informazioni false)","10 Dicembre 2020"
"1 (Aff. costituzionali)","Prof. Massimo LUCIANI (213 Kb)","Audizioni informali sul ddl 852 (vincolo legislatore a seguito referendum abrogativo)"," 3 Dicembre 2020"
"1 (Aff. costituzionali)","MED - Associazione italiana per l'educazione ai media e alla comunicazione (376 Kb)                                                              Lorenzo CALO'- IL MATTINO (82 Kb)                                                              Dott. Lucarelli (79 Kb)","Audizioni informali sul ddl 1900 (Commissione d'inchiesta diffusione informazioni false)"," 1 Dicembre 2020"
"1 (Aff. costituzionali)","Pres. Giovanni TOTI (94 Kb)","Audizioni informali nell'ambito dell'affare assegnato n. 588","24 Novembre 2020"
"1 (Aff. costituzionali)","Prof. MICCU' (638 Kb)","Audizioni informali nell'ambito dell'affare assegnato n. 588","19 Novembre 2020"
"1 (Aff. costituzionali)","Prof. CURRERI (36 Kb)","Audizioni informali nell'ambito dell'affare assegnato n. 588","19 Novembre 2020"
"1 (Aff. costituzionali)","Prof. RIVOSECCHI (421 Kb)","Audizioni informali nell'ambito dell'affare assegnato n. 588","19 Novembre 2020"
"1 (Aff. costituzionali)","Prof.ssa D'AMICO (512 Kb)","Audizioni informali nell'ambito dell'affare assegnato n. 588","19 Novembre 2020"
"1 (Aff. costituzionali)","Conferenza Presidenti Assemblee legislative Regioni-Province autonome - CIAMBETTI (610 Kb)","Audizioni informali sul ddl 1825 (clausola di supremazia)","18 Novembre 2020"
"1 (Aff. costituzionali)","Cons. Claudio TUCCIARELLI (232 Kb)","Audizioni informali nell'ambito dell'affare assegnato n. 588","18 Novembre 2020"
"1 (Aff. costituzionali)","Prof.ssa Michela MANETTI (570 Kb)                                                              Prof. Marcello PERA (189 Kb)                                                              Prof. Luca LONGHI (41 Kb)                                                              Prof. MANZELLA (118 Kb)","Audizioni informali nell'ambito dell'affare assegnato n. 588","17 Novembre 2020"
"1 (Aff. costituzionali)","Prof. Fulvio PASTORE (506 Kb)                                                              Prof. Massimo VILLONE (60 Kb)                                                              Prof. Enzo CHELI (265 Kb)                                                              Prof. Massimo LUCIANI (211 Kb)                                                              Prof. Gaetano AZZARITI (623 Kb)","Audizioni informali nell'ambito dell'affare assegnato n. 588","12 Novembre 2020"
"1 (Aff. costituzionali)","Prof. Nicola LUPO (648 Kb)","Audizioni informali nell'ambito dell'affare assegnato n. 588"," 5 Novembre 2020"
"1 (Aff. costituzionali)","Prof.ssa ALLENA (208 Kb)                                                              Prof. LUCIANI (159 Kb)","Audizioni informali sul ddl 1970 (d-l 125/2020 - proroga misure di contrasto Covid-19))","21 Ottobre 2020"
"1 (Aff. costituzionali)","CARBONI - GARR (190 Kb)","Audizioni informali sul ddl 953 (diretta telematica sedute consigli comunali)","21 Ottobre 2020"
"1 (Aff. costituzionali)","GARANTE PRIVACY (670 Kb)","Audizioni informali sul ddl 1970 (d-l 125/2020 - proroga misure di contrasto Covid-19))","19 Ottobre 2020"
"1 (Aff. costituzionali)","Nando PAGNONCELLI (2026 Kb)                                                              Nando PAGNONCELLI slides (8552 Kb)","Audizioni informali sul ddl 1900 (Commissione d'inchiesta diffusione informazioni false)"," 6 Ottobre 2020"
"1 (Aff. costituzionali)","Prof. Davide DE LUNGO (239 Kb)                                                              Prof. Luca LONGHI (39 Kb)                                                              Prof. Massimo LUCIANI (115 Kb)","Audizioni informali sul ddl 1642 (quorum referendum art. 132 Costituzione)","30 Settembre 2020"
"1 (Aff. costituzionali)","Franca BIGLIO (UPCI) (566 Kb)                                                              Prof.ssa ALLENA (124 Kb)","Audizioni informali sul ddl 953 (diretta telematica sedute consigli comunali)","29 Settembre 2020"
"1 (Aff. costituzionali)","prof.ssa TRUCCO (1064 Kb)                                                              prof. FRACCHIA (164 Kb)","Audizioni informali sul disegno di legge 83 e connessi (tutela costituzionale dell'ambiente)","23 Settembre 2020"
