"nome","nome_esteso","tipologia","ambito_interesse"
"FEDERCHIMICA","ASSOSALUTE - Associazione Nazionale farmaci di automedicazione","Associazione di Sottosettore","Specialità medicinali di automedicazione"
"FEDERCHIMICA","AVISA - Associazione nazionale vernici, inchiostri, sigillanti e adesivi","Associazione di Sottosettore","pitture e vernici, inchiostri da stampa, adesivi e sigillanti"
"FEDERCHIMICA","CERAMICOLOR - Associazione Nazionale Colorifici Ceramici e Produttori di Ossidi Metallici","Associazione di Sottosettore","colorifici ceramici e produttori di ossidi metallici"
"FEDERCHIMICA","COSMETICA ITALIA - Associazione nazionale imprese cosmetiche","Associazione di Sottosettore","Profumi e cosmetici"
"FEDERCHIMICA","PLASTICSEUROPE ITALIA - Associazione Italiana Produttori di Materie Plastiche","Associazione di Sottosettore","compounds e ausiliari per materie plastiche, plastificanti e altri prodotti affini, materiali avanzati, resine e sistemi termoindurenti e termoplastici,"
"FEDERLEGNO-ARREDO","Federazione italiana delle industrie del legno, del sughero, del mobile, dell'illuminazione e dell'arredamento","Federazione di Settore","Legno, vetro, piastrelle"
"FEDERLEGNO-ARREDO","ASAL - Associazione nazionale aziende allestitrici mostre e fiere","Associazione di Sottosettore","Allestimenti fieristici"
"FEDERLEGNO-ARREDO","ASSARREDO - Associazione nazionale delle industrie produttrici di: mobili, imbottiti, cucine, materassi, arredo urbano e per esterni, complementi d'arredo, arredamenti commerciali, aste e cornici, contract, fai da te","Associazione di Sottosettore","mobili, imbottiti, cucine, materassi, arredo urbano e per esterni, complementi d'arredo, arredamenti commerciali, aste e cornici, contract, fai da te"
"FEDERLEGNO-ARREDO","ASSOBAGNO - Associazione nazionale delle industrie dell'arredamento ed articoli per il bagno","Associazione di Sottosettore","Aziende produttrici di arredamento e articoli per il bagno"
"FEDERLEGNO-ARREDO","ASSOCOFANI - Associazione Italiana Produttori Cofani ed Accessori Funebri","Associazione di Sottosettore",""
"FEDERLEGNO-ARREDO","ASSOIMBALLAGGI - Associazione nazionale delle industrie di imballaggi di legno, pallet, sughero e servizi logistici","Associazione di Sottosettore","aziende produttrici di imballaggi, pallet, sughero e servizi logistici"
"FEDERLEGNO-ARREDO","ASSOLEGNO - Associazione nazionale delle industrie forestali e della lavorazione del legno","Associazione di Sottosettore","aziende di prima lavorazione e costruzioni in legno"
"FEDERLEGNO-ARREDO","ASSOLUCE - Associazione nazionale delle imprese degli apparecchi di illuminazione","Associazione di Sottosettore","aziende italiane produttrici di apparecchi di illuminazione domestica"
"FEDERLEGNO-ARREDO","ASSOPANNELLI - Associazione nazionale dei fabbricanti di pannelli e semilavorati in legno","Associazione di Sottosettore","aziende italiane produttrici di pannelli, compensati, listellari e semilavorati"
"FEDERLEGNO-ARREDO","ASSOTENDE - Associazione delle aziende del settore della tenda, delle schermature solari, dei sistemi di comando e automazione e dei tessuti tecnici","Associazione di Sottosettore",""
"FEDERLEGNO-ARREDO","ASSUFFICIO - Associazione nazionale delle industrie dei mobili e degli elementi di arredo per ufficio","Associazione di Sottosettore","aziende italiane produttrici di mobili per ufficio, pareti attrezzate e sedute"
"FEDERLEGNO-ARREDO","EDILEGNOARREDO (Associazione nazionale che raggruppa le imprese industriali operanti nel settore dell'edilizia)","Associazione di Sottosettore","aziende italiane di prodotti per l’edilizia e l’arredo urbano"
"FEDERLEGNO-ARREDO","FEDECOMLEGNO (Rappresenta il mondo delle importazioni italiane di legname da opera, tronchi, derivati, semilavorati utilizzati nelle attività di trasformazione industriale ed artigiane e nell'edilizia)","Associazione di Sottosettore","importatori, commercianti ed agenti di materia prima legno"
"FEDERMECCANICA","Federazione Sindacale dell'Industria Metalmeccanica Italiana","Federazione di Settore","Costruzione macchinario, apparecchiature e meccanica varia, meccanica fine ed ottica"
"FEDERPRIMA","Federazione italiana delle imprese dei cereali, della nutrizione animale e delle carni","Federazione di Settore",""
"SMI - Sistema Moda Italia","Federazione Tessile e Moda","Federazione di Settore","Tessile, moda ed accessori"
