"COMMISSIONE","NOMI","ATTO","DATA"
"2 (Giustizia)","ASSOCIAZIONE NAZIONALE DONNE SEPARATE","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-02-14
"2 (Giustizia)","ADIANTUM","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-02-14
"2 (Giustizia)","DOTT. PICCINELLI , AICG","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-02-14
"2 (Giustizia)","CODICI Centro per i diritti del cittadino","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-02-14
"2 (Giustizia)","ASSOCIAZIONE NAZIONALE TESTIMONI DI GIUSTIZIA","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-02-14
"2 (Giustizia)","CENTRO ANTIVIOLENZA BIGENITORIALE ONLUS","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-02-14
"2 (Giustizia)","AVV. SIFO","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-02-14
"2 (Giustizia)","PROF. MARINI","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-02-14
"2 (Giustizia)","GARANTE PER L'INFANZIA REGIONE LOMBARDIA","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-02-14
"2 (Giustizia)","PROF. BERNARDO","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 174 E 662 (COSTRIZIONE MATRIMONIALE NEI CONFRONTI DEI MINORI)",2019-02-13
"2 (Giustizia)","AUTORITA' GARANTE PER L'INFANZIA","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 174 E 662 (COSTRIZIONE MATRIMONIALE NEI CONFRONTI DEI MINORI)",2019-02-13
"2 (Giustizia)","TAHER DJAFARIZAD","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 174 E 662 (COSTRIZIONE MATRIMONIALE NEI CONFRONTI DEI MINORI)",2019-02-13
"2 (Giustizia)","TRAMA DI TERRE","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 174 E 662 (COSTRIZIONE MATRIMONIALE NEI CONFRONTI DEI MINORI)",2019-02-13
"2 (Giustizia)","DOTT. BRUTI LIBERATI","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEL DISEGNO DI LEGGE N. 925 (GIUDIZIO ABBREVIATO)",2019-02-12
"2 (Giustizia)","CENTRO STUDI LIVATINO","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-02-05
"2 (Giustizia)","PROF. CECCHELLA","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-02-05
"2 (Giustizia)","DOTT.SSA MANENTE","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-02-05
"2 (Giustizia)","PROF.SSA CURCI","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-02-05
"2 (Giustizia)","PROF. CAMERINI","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-02-05
"2 (Giustizia)","PROF. MANIACI","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-02-05
"2 (Giustizia)","ASSOCIAZIONE ITALIANA PSICOLOGIA GIURIDICA","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-02-05
